# Number of Traces
   9684
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
  185; 1; 124; 0.840811; 0.419539; -0.509276; 1.28068; 0.0247144; 0.933787
  186; 1; 125; 0.592271; 1.12359; 0.55507; 1.2708; 0.0276404; 0.878111
  187; 1; 128; 0.570052; 1.11079; 0.354236; 1.35547; -0.373186; -0.113637
  188; 1; 129; 0.98199; 0.219782; -0.331559; 0.603651; 1.09552; 0.522637
  189; 1; 131; 0.775008; 0.533841; -0.509276; 1.17787; 0.117986; 0.60035
  190; 1; 136; 0.65781; 0.915832; 0.188032; 1.28006; -0.113907; 0.387818
  191; 1; 137; 1.28207; -0.346935; -0.509276; 0.987276; 0.577622; 1.10286
  192; 1; 138; 1.30839; -0.392653; -0.509276; 0.992926; 0.559324; 1.0697
  193; 1; 140; 0.57913; 1.11602; 0.436292; 1.37775; -0.360359; 0.0877502
  194; 1; 141; 0.541656; 1.09445; 0.0975739; 0.936583; 0.490346; 0.41762
  195; 1; 143; 0.474418; 1.15152; -0.13583; 0.770518; 0.826243; 0.603035
  196; 1; 149; 0.382911; 1.31616; -0.113575; 1.00915; 0.411045; 0.60035
  197; 1; 152; 1.31009; -0.111682; 0.60035; 1.25277; -0.00203561; 0.639748
  198; 1; 153; 1.12068; 0.145622; 0.320109; 0.812217; 0.890425; 1.13696
  199; 1; 154; 0.563473; 1.10701; 0.294776; 1.00193; 0.359366; 0.34933
  200; 1; 155; 0.493256; 1.06658; -0.339901; 1.12012; 0.218291; 0.60035
  201; 1; 157; 1.03643; 0.0797525; -0.509276; 0.992708; 0.491733; 0.804062
  202; 1; 158; 0.845961; 0.611954; 0.277697; 0.260881; 1.62099; 0.249341
  203; 1; 160; 0.861011; 0.645911; 0.512576; 0.848522; 0.669192; 0.51878
  204; 1; 162; 0.545756; 0.932052; -0.509276; 0.576263; 1.34112; 1.29657
  205; 1; 163; 1.09392; -0.0201188; -0.509276; 0.685475; 0.975281; 0.608182
  206; 1; 166; 0.501691; 1.07144; -0.263651; 1.02872; 0.511777; 1.12688
  207; 1; 172; 0.761718; 0.556926; -0.509276; 1.11307; 0.230539; 0.60035
  208; 1; 176; 0.513347; 1.07815; -0.158299; 1.0047; 0.561106; 1.15658
  209; 1; 177; 1.09321; 0.0708724; -0.158539; 1.15363; 0.00579021; -0.00272068
  210; 1; 178; 0.563184; 1.10684; 0.292164; 1.01; 0.552135; 1.15753
